,ID,UTTERANCE,RELATIONS,primary_relation,split
1234,1234,find movies about vietnam,movie.subjects,movie.subjects,train
2208,2208,search for the producer of mirror,movie.produced_by,movie.produced_by,train
1714,1714,movies with sally field,movie.starring.actor,movie.starring.actor,train
1057,1057,run a search for life is beautiful,NO_REL,NO_REL,train
2470,2470,show me the earnings for clint eastwood movies,movie.directed_by movie.gross_revenue,movie.directed_by,train
926,926,find romance movies,movie.genre,movie.genre,train
2166,2166,look at paramount,NO_REL,NO_REL,train
1495,1495,what are some universal pictures films,movie.production_companies,movie.production_companies,train
1631,1631,can i watch a terry george film tonight,movie.directed_by,movie.directed_by,train
2849,2849,search by actor,movie_other,movie_other,train
1604,1604,a showing of movies that are in spanish,movie.language,movie.language,train
1771,1771,will ferrell been in,movie.starring.actor,movie.starring.actor,train
3275,3275,get finding nemo info and reviews,movie.review,movie.review,train
2894,2894,movies like in july,movie_other,movie_other,train
2693,2693,show me mission impossible in spanish,movie.language,movie.language,train
1302,1302,list movies about war,movie.subjects,movie.subjects,train
1958,1958,i would like to see the main page of in july,NO_REL,NO_REL,train
2939,2939,scary,other,other,train
1956,1956,i want to go to the homepage for in july,NO_REL,NO_REL,train
2296,2296,how much money did pretty woman take in,movie.gross_revenue,movie.gross_revenue,train
2091,2091,show me the name of the producer of the movie avatar,movie.produced_by,movie.produced_by,train
1270,1270,movie by steven spielberg,movie.directed_by,movie.directed_by,train
1365,1365,find movies directed by oliver stone,movie.directed_by,movie.directed_by,train
2314,2314,show me the lion king's revenue,movie.gross_revenue,movie.gross_revenue,train
3246,3246,show me movies with a four star rating,movie.star_rating,movie.star_rating,train
880,880,find canadian films,movie.country,movie.country,train
3203,3203,jennifer ann new releases,movie.starring.actor movie.initial_release_date,movie.starring.actor,train
603,603,who is the director of return,movie.directed_by,movie.directed_by,train
2449,2449,what type of film is raiders of the lost art,movie.genre,movie.genre,train
2133,2133,who produce the avatar,movie.produced_by,movie.produced_by,train
2902,2902,what movies are related to dirty dancing,movie_other,movie_other,train
864,864,movies by producer,movie.produced_by,movie.produced_by,train
617,617,what kind of movie is black swan,movie.genre,movie.genre,train
262,262,how many movies has charles vidor directed,movie.directed_by,movie.directed_by,train
623,623,what genre is the jaws movies,movie.genre,movie.genre,train
1568,1568,sort by all brad pitt movies,movie.starring.actor movie.directed_by,movie.starring.actor,train
2507,2507,find a ron howard movie from 2012,movie.directed_by movie.initial_release_date,movie.directed_by,train
1229,1229,list movies directed by clint eastwood,movie.directed_by,movie.directed_by,train
736,736,life is beautiful movie page,NO_REL,NO_REL,train
2716,2716,arabic actors,person.country,person.country,train
1340,1340,show me all movies about diving,movie.subjects,movie.subjects,train
1073,1073,search for dirty dancing,NO_REL,NO_REL,train
367,367,when was dirty dancing released,movie.initial_release_date,movie.initial_release_date,train
383,383,what is possessed realese date,movie.initial_release_date,movie.initial_release_date,train
2181,2181,who produced the great debaters,movie.produced_by,movie.produced_by,train
2417,2417,show movie omg on oh nine twenty eight twenty twelve,movie.initial_release_date,movie.initial_release_date,train
1841,1841,show me the comedy pitch perfect,movie.genre,movie.genre,train
3319,3319,where is house at the end of the street playing,movie.showing,movie.showing,train
3130,3130,who is the gym teacher in glee,movie.starring.actor movie.starring.character,movie.starring.actor,train
779,779,gross earnings for movies,movie.gross_revenue,movie.gross_revenue,train
2006,2006,who is andrew stanton,NO_REL,NO_REL,train
749,749,give me a list of will ferrell films,movie.starring.actor,movie.starring.actor,train
1898,1898,show me hitchcock movies,movie.directed_by,movie.directed_by,train
1486,1486,what movies has lionsgate done,movie.production_companies,movie.production_companies,train
17,17,what are the names of female actors who played in lost,movie.starring.actor actor.gender,movie.starring.actor,train
233,233,what was the bourne identity's budget,movie.estimated_budget,movie.estimated_budget,train
939,939,show me movies produced in french,movie.language,movie.language,train
236,236,will you show the cost to produce the deer hunter,movie.estimated_budget,movie.estimated_budget,train
25,25,who were roberto benigni's costars on life is beautiful,movie.starring.actor,movie.starring.actor,train
247,247,what role did sarah polley play in go,movie.starring.actor movie.starring.character,movie.starring.actor,train
715,715,i would like to know the names of all the movies which have been directed by james cameron,movie.directed_by,movie.directed_by,train
2698,2698,smurfs for the kids,movie.rating,movie.rating,train
3116,3116,are the animated charactors protrayed as small or human size,other,other,train
1150,1150,i want to see chinese movies,movie.country movie.language,movie.country,train
2178,2178,i wonder who produced the terminator,movie.produced_by,movie.produced_by,train
1792,1792,show information for the movie house at the end of the street,NO_REL,NO_REL,train
687,687,what language did the characters speak in black swan,movie.language,movie.language,train
12,12,who starred in the campaign,movie.starring.actor,movie.starring.actor,train
816,816,i want to see a comedy in spanish,movie.language movie.genre,movie.language,train
1311,1311,what are all the movies to come out of france,movie.country,movie.country,train
2592,2592,find movies with von sudow,movie.starring.actor,movie.starring.actor,train
669,669,genre for while you were sleeping,movie.genre,movie.genre,train
1275,1275,can you find movies with steven spielberg,movie.directed_by,movie.directed_by,train
442,442,when was paranorman be released,movie.initial_release_date,movie.initial_release_date,train
662,662,find out the genre for the movie annamayya,movie.genre,movie.genre,train
1893,1893,movies by alfred hitchcock,movie.directed_by,movie.directed_by,train
87,87,actor from iron man,movie.starring.actor,movie.starring.actor,train
1164,1164,search twentieth century fox,movie.production_companies,movie.production_companies,train
2033,2033,who is will ferrell,NO_REL,NO_REL,train
1546,1546,what movies has christian bale appeared in,movie.starring.actor,movie.starring.actor,train
2484,2484,what are all movies made in america,movie.country,movie.country,train
2732,2732,find period productions,NO_REL,NO_REL,train
59,59,what actors were in dirty dancing,movie.starring.actor,movie.starring.actor,train
1279,1279,show me the movies that spielberg made,movie.directed_by,movie.directed_by,train
2095,2095,what is the name of the company that produced the movie inception,movie.production_companies,movie.production_companies,train
214,214,how much money was spent on batman,movie.estimated_budget,movie.estimated_budget,train
1773,1773,find movies about gambling,movie.subjects,movie.subjects,train
3068,3068,what makes a movie get an r rating,movie_other,movie_other,train
1666,1666,info german movie,movie.country movie.language,movie.country,train
2946,2946,rating,movie_other,movie_other,train
2306,2306,revenue for titanic,movie.gross_revenue,movie.gross_revenue,train
1930,1930,i need a list of movies produced by ray stark,movie.produced_by,movie.produced_by,train
496,496,director of the avengers,movie.directed_by,movie.directed_by,train
2169,2169,who produced titanic,movie.produced_by,movie.produced_by,train
2687,2687,can i have hotel transylvania three d,NO_REL,NO_REL,train
2228,2228,can i see this film rating,movie.rating,movie.rating,train
1422,1422,search for warner brothers movies,movie.production_companies,movie.production_companies,train
801,801,i want to watch a movie by sergio leone,movie.directed_by,movie.directed_by,train
1247,1247,list all movies that walt disney produced,movie.production_companies,movie.production_companies,train
151,151,what is the name of the lead actor in the titanic,movie.starring.actor,movie.starring.actor,train
1299,1299,show me some war themed movies,movie.subjects,movie.subjects,train
1821,1821,locate all movies produced by george lucas,movie.produced_by,movie.produced_by,train
427,427,release date for the hunger games,movie.initial_release_date,movie.initial_release_date,train
464,464,director for gone with the wind,movie.directed_by,movie.directed_by,train
1626,1626,show me scifi fantasy movies,movie.genre,movie.genre,train
2727,2727,who produced star wars,movie.produced_by,movie.produced_by,train
1806,1806,julian fellows productions,movie.produced_by,movie.produced_by,train
2843,2843,which producers work for fox,movie.production_companies movie.produced_by,movie.production_companies,train
1357,1357,show tom hanks movies,movie.starring.actor,movie.starring.actor,train
2281,2281,show me the rating for the movie the expendables 2,movie.rating,movie.rating,train
777,777,show all movies directed by martin scorcese,movie.directed_by,movie.directed_by,train
1760,1760,all the movies of karan johar,movie.directed_by,movie.directed_by,train
2828,2828,what was the gross revenue for the princess bride,movie.gross_revenue,movie.gross_revenue,train
1679,1679,movies tom cruise produced,movie.produced_by,movie.produced_by,train
1745,1745,list movies with angelina jolie in them,movie.starring.actor,movie.starring.actor,train
1458,1458,synopsis for finding nemo,NO_REL,NO_REL,train
2971,2971,england will you make movie about the life of prince william and harry's life,movie_other,movie_other,train
458,458,when house at the end of the street showing,movie.initial_release_date,movie.initial_release_date,train
2459,2459,what language is spoken in the movie on a wednesday,movie.language,movie.language,train
1345,1345,search for movies that were produced by mosfilm,movie.production_companies,movie.production_companies,train
1286,1286,show me movies directed by steven spielberg,movie.directed_by,movie.directed_by,train
985,985,search for movies by language,movie.language,movie.language,train
2780,2780,want to find the revenue of kahani,movie.gross_revenue,movie.gross_revenue,train
2477,2477,show all comedies that came out nine twenty eight twenty twelve,movie.genre movie.initial_release_date,movie.genre,train
2304,2304,how much revenue did titanic make,movie.gross_revenue,movie.gross_revenue,train
488,488,who is director of sleepless in seattle,movie.directed_by,movie.directed_by,train
2185,2185,who produced possesion,movie.produced_by,movie.produced_by,train
663,663,what movie category is friday the 13th,movie.genre,movie.genre,train
1332,1332,find movies produced by disney pixar,movie.production_companies,movie.production_companies,train
2170,2170,company that produced twilight,movie.production_companies,movie.production_companies,train
1217,1217,watch pg and g movies,movie.rating,movie.rating,train
2355,2355,look for epic's budget,movie.estimated_budget,movie.estimated_budget,train
1055,1055,i would like to view info on life is beautiful,NO_REL,NO_REL,train
246,246,what character did will smith play in hitch,movie.starring.actor movie.starring.character,movie.starring.actor,train
1780,1780,are there any movies with skating on ice,movie.subjects,movie.subjects,train
2094,2094,please provide the name of the company that produced sparkle,movie.production_companies,movie.production_companies,train
1537,1537,get german language films,movie.language,movie.language,train
3160,3160,can you give me the release date,movie.initial_release_date,movie.initial_release_date,train
1426,1426,list recent films with actor bruce willis,movie.starring.actor movie.initial_release_date,movie.starring.actor,train
1046,1046,show me cameron diaz movies,movie.starring.actor,movie.starring.actor,train
326,326,when does top gun come out,movie.initial_release_date,movie.initial_release_date,train
1515,1515,find prison break movies,NO_REL,NO_REL,train
2253,2253,what is the rating for house at the end of the street,movie.rating,movie.rating,train
1708,1708,where can i watch star wars four,NO_REL,NO_REL,train
1107,1107,find movies with sandra bullock,movie.starring.actor,movie.starring.actor,train
2447,2447,genre for downton abbey,movie.genre,movie.genre,train
1816,1816,what movies has tom cruise starred in,movie.starring.actor,movie.starring.actor,train
3307,3307,show me viewer ratings,movie.review,movie.review,train
2606,2606,i want to see movies about cars,movie.subjects,movie.subjects,train
203,203,i want to know the avatar's budget,movie.estimated_budget,movie.estimated_budget,train
3289,3289,what are the reviews for house at the end of the street,movie.review,movie.review,train
2543,2543,show me movies from the sixties,movie.initial_release_date,movie.initial_release_date,train
2537,2537,get a list of movies released in september,movie.initial_release_date,movie.initial_release_date,train
2043,2043,who is director steven spielberg,NO_REL,NO_REL,train
1513,1513,kareena's movies,movie.starring.actor,movie.starring.actor,train
1240,1240,find movies produced by steven spielberg,movie.produced_by,movie.produced_by,train
3050,3050,what does a g rating mean,movie_other,movie_other,train
554,554,find the director for et,movie.directed_by,movie.directed_by,train
2432,2432,find the director of star wars,movie.directed_by,movie.directed_by,train
361,361,release date for little women,movie.initial_release_date,movie.initial_release_date,train
2413,2413,search date for omg,movie.initial_release_date,movie.initial_release_date,train
36,36,who were the cast members in the hobbist,movie.starring.actor,movie.starring.actor,train
144,144,who was the tin man in wizard of oz,movie.starring.actor movie.starring.character,movie.starring.actor,train
1115,1115,look for movies directed by tyler perry,movie.directed_by,movie.directed_by,train
563,563,can you tell me who is the director of batman,movie.directed_by,movie.directed_by,train
1353,1353,i want to watch movies with tom hanks,movie.starring.actor,movie.starring.actor,train
1812,1812,show me all movies tom cruise has been in,movie.starring.actor,movie.starring.actor,train
470,470,who directed the movie,movie.directed_by,movie.directed_by,train
450,450,what is the release date of the movie barfi,movie.initial_release_date,movie.initial_release_date,train
1180,1180,find movies that are rated pg-13,movie.rating,movie.rating,train
1605,1605,can you find movies in spanish,movie.language,movie.language,train
1781,1781,find dreamworks movies for kids,movie.rating movie.production_companies,movie.rating,train
1583,1583,i want to view movies that are rated r,movie.rating,movie.rating,train
114,114,who starred in the movie hitch,movie.starring.actor,movie.starring.actor,train
2586,2586,get me movies with chloe sevigny,movie.starring.actor,movie.starring.actor,train
1185,1185,are there any g movies out there right now,movie.rating,movie.rating,train
1791,1791,get me info about the movie house at the end of the street,NO_REL,NO_REL,train
2914,2914,after watching this movie will i have nightmares about it,movie_other,movie_other,train
2989,2989,i want to see all the flags of the world,other,other,train
1712,1712,han solo,movie.starring.character,movie.starring.character,train
2311,2311,how much did the dark night generate,movie.gross_revenue,movie.gross_revenue,train
2398,2398,where is resident evil located,movie.locations,movie.locations,train
189,189,budget of heroine,movie.estimated_budget,movie.estimated_budget,train
2067,2067,what about steven spielberg,NO_REL,NO_REL,train
688,688,what language is black swan,movie.language,movie.language,train
1827,1827,movies about immigration,movie.subjects,movie.subjects,train
1646,1646,zombie movie favorites,movie.subjects,movie.subjects,train
392,392,when was finding nemo released,movie.initial_release_date,movie.initial_release_date,train
2127,2127,can you tell me who produced the movie avatar,movie.produced_by,movie.produced_by,train
1973,1973,i need a list of actors,NO_REL,NO_REL,train
2530,2530,what movies were released on nine twenty one twelve,movie.initial_release_date,movie.initial_release_date,train
1151,1151,show me chinese movies,movie.country movie.language,movie.country,train
2452,2452,amelie is in what language,movie.language,movie.language,train
